BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000315	401	444	738	1081	1905	1124	574	491	883	927	1066	1010
AAEL000316	159	118	194	140	688	300	363	347	614	488	1328	921
AAEL000317	0	0	9	40	2	1	0	0	186	0	0	0
AAEL000318	0	0	2	0	0	9	0	0	0	41	0	0
AAEL000319	2	11	3	4	5	1	6	6	0	0	1	0
AAEL000320	0	1	2	3	14	0	4	3	5	11	3	3
AAEL000321	167	245	533	317	2800	693	138	117	424	685	196	179
AAEL000322	118	169	321	819	418	437	134	160	352	188	251	242
AAEL000323	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000324	26	29	145	307	99	246	19	15	56	57	48	44
AAEL000325	0	0	0	5	0	0	0	0	0	0	0	0
AAEL000326	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000327	48	56	330	775	255	348	44	29	179	37	37	73
AAEL000328	10031	12346	8438	9794	20853	14026	13331	14329	13900	14696	15423	18619
AAEL000329	0	1	5	6	10	3	0	5	0	5	7	18
AAEL000330	21	10	37	66	121	96	198	168	254	168	235	294
AAEL000331	1114	1794	1558	2274	4682	4110	3102	2872	3483	3385	2653	3269
AAEL000332	248	307	236	414	545	551	598	724	451	316	369	364
AAEL000333	0	0	2	7	0	0	0	0	2	0	0	0
AAEL000334	15	20	13	19	91	34	13	40	19	20	21	32
AAEL000335	2	45	1294	7362	386	2563	8	89	2697	5	9	261
AAEL000336	206	151	300	299	773	392	102	141	221	235	229	326
AAEL000337	38	41	171	252	258	327	109	161	200	135	161	151
AAEL000338	0	3	0	7	1	1	0	2	3	2	4	7
AAEL000339	3383	3730	4074	4274	9163	4892	2592	2745	4079	4057	2787	3487
AAEL000340	61	29	43	37	99	66	62	47	26	43	19	31
AAEL000341	62	47	75	49	173	76	79	63	112	124	97	183
AAEL000342	107	138	162	161	476	128	159	123	194	160	247	351
AAEL000343	1638	1558	4454	9626	5149	5085	1604	1727	3661	2143	1913	2109
AAEL000344	0	0	0	0	4	0	0	0	0	0	0	0
AAEL000345	158	164	357	424	633	344	153	185	354	251	292	371
AAEL000346	250	278	526	995	810	717	202	228	571	272	295	390
AAEL000347	0	0	0	0	4	0	0	0	5	4	0	2
AAEL000348	3	8	19	0	19	4	3	10	13	3	3	0
AAEL000350	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000351	0	0	2	0	7	0	1	5	3	6	1	5
AAEL000352	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000353	0	0	0	0	0	0	0	0	0	0	0	2
AAEL000354	322	394	902	1447	1423	1981	3735	3291	5234	4662	1636	2049
AAEL000356	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000357	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000358	0	0	0	0	1	0	0	0	0	0	0	0
AAEL000359	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000360	3	2	3	0	11	0	0	3	0	0	0	0
AAEL000361	0	0	0	3	0	0	0	1	28	0	0	7
AAEL000362	137	136	229	197	527	234	109	209	207	264	193	280
