BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000182	426.831843351345	357.688622349778	423.081494299497	278.096880815863	337.095152217589	268.320918748705	2636.21985630507	2776.64081425777	2474.58218965205	2355.95733642771	1051.28785269791	1109.54555581724	darkgreen	FALSE
AAEL000185	261.536379251356	259.538070295781	223.636885771484	291.135813652273	175.218445895213	182.65038554065	407.341654895491	437.98690085199	211.460242807034	172.182541867191	279.915066336965	283.619736386726	darkgreen	FALSE
AAEL000186	17.9626349487803	24.7896996008391	78.8468534089672	62.7638999996483	64.7919698142516	108.799311153427	33.3361585916187	34.8287479655571	82.1765623998115	70.3564735639394	91.7653431508977	89.8845109308804	brown	TRUE
AAEL000187	0.408181008562624	0.377126911938252	2.04156147233622	4.31947031010375	0.655152488680959	1.91011999215981	0.450934000856422	0.276570809462409	1.42902328151774	0.609969795019646	0.584603546965435	0.558700878270419	turquoise	FALSE
AAEL000193	4.89704088038218	5.80665878392797	34.2408729382195	80.8160577991299	8.20788141839186	29.052000390484	2.28529697573887	4.73197774557019	16.4183380840821	3.81391379054253	3.60670027512279	7.0181368596612	turquoise	FALSE
AAEL000199	28.4824853281214	26.9997643449139	34.2320124567332	48.3550452667767	17.9676155796963	29.9094612726345	64.3159904619806	64.2792057465786	28.0473617794358	26.6870739175532	44.667558451099	40.2362783788656	darkgreen	FALSE
AAEL000200	46.8264859911317	46.4738699506777	82.3628472232014	138.305810613283	211.5663313405	391.604338623779	369.741267332498	385.185646903877	547.307377713841	386.107722699139	3048.23332986219	2039.86331012589	magenta	FALSE
AAEL000201	0.783715381046425	0.779790220155732	9.84984748020871	27.4866333199697	1.46652058578324	7.12178225528673	0.932402097734961	1.7849246399023	5.01422306917224	0.540532490359177	0.977321479746108	1.40168279356141	turquoise	FALSE
AAEL000204	18.9295086677591	25.4892340692598	37.3580715168684	42.622334838031	27.3290284174796	25.5097296628814	3.11096178612441	3.93082042367805	9.22388807322453	14.0247799902701	1.90215398891408	5.8282312371174	turquoise	FALSE
AAEL000206	57.023241702064	69.771970624428	68.9957997819088	55.2435245762049	82.9976214224684	48.8199526945516	11.6768800720238	11.9613881901913	14.2623946993037	54.6534434751687	3.74263414526369	14.2666190724399	magenta	TRUE
AAEL000208	248.027363156123	271.56168143668	96.7242041614376	92.5146725120967	94.8119100692208	131.015471355097	381.988565462322	326.267912500212	114.670998891336	123.429021869891	175.847503089869	159.127089020687	brown	FALSE
AAEL000210	46.7978050074703	60.8132124385141	62.5101635953837	60.1495073443788	47.8618255664523	63.2145354093519	136.001632427946	127.201851138437	79.2104515736644	62.1675491200581	62.7464202150691	67.5953400871938	darkgreen	FALSE
AAEL000211	19.7679892032875	18.714592297344	30.9591221608311	28.7230747545629	38.1541834510904	35.5045533099457	45.7402270848148	51.0767090056517	61.8687082561591	55.3254006977982	92.2390202849076	91.2010094426781	magenta	FALSE
AAEL000213	143.331663657584	75.8008192957737	22.2974704269655	10.6110524838029	26.913870834187	22.4853598229711	106.646685322858	125.631310298266	41.8707032217961	25.6278511184774	48.3250951574119	43.3345055995988	brown	FALSE
AAEL000214	6.66631392142477	7.31398574999963	10.0038258162195	12.5905272041866	7.00026571989709	9.09872240067033	5.36998108974422	5.95835679197507	6.6781305758878	5.37007581944516	11.6128662561828	13.5994084927604	magenta	FALSE
AAEL000215	3.31206671069172	3.00992186293667	7.97787225207644	7.9972862023822	7.05181529451163	9.35028643104197	6.05514337384168	6.13379748562501	9.91916141849796	10.4668135098024	9.82141192850884	15.1074251880918	magenta	FALSE
AAEL000217	5.32127747692	6.4146763400358	39.6422134856413	75.4149447620323	7.8399668871645	23.690993175607	3.04093538073308	6.0079881848242	19.6426511700381	3.6977277731296	10.2797354338311	14.4092410946682	turquoise	FALSE
AAEL000219	38.0988910424285	41.2207123847992	33.9637166259096	36.9787610765067	44.592986871258	36.7662660271985	25.5059681835112	23.8749786253769	32.9933643612139	31.7280788433116	28.3574489212827	27.1716605326018	magenta	TRUE
AAEL000221	44.7589681132416	47.9742913231563	80.6599299197296	58.5433332164487	77.8747089589127	109.47310351293	87.1907031346936	92.4608499629164	138.635695810216	126.460199228671	111.193387658481	120.836092635323	magenta	FALSE
AAEL000223	47.6567858374209	41.35121169427	2.74883582857585	8.68622475519934	5.04789538378254	4.58760135684194	5.40858221612414	7.99841948338665	0.300562256583419	4.93928627040871	0	0.232669621147457	brown	FALSE
AAEL000224	0.0603941288179393	0.11159878006336	5.75414340036685	9.25959540729051	0.498018929796797	5.46398269866122	0	0.104163032135193	0.627904169151735	0	0.051530403835859	0.13887707545579	turquoise	FALSE
AAEL000229	291.99285669164	266.527924593789	330.566305545822	401.934504488076	395.569826714415	293.115078934677	475.989207042522	541.311719638582	538.372076546613	522.146808128689	358.377969805433	514.945033707369	darkgreen	FALSE
AAEL000230	16.5829688984255	15.8948758501589	24.1255316828078	36.8930956646395	17.6964916444654	32.97718128643	41.5793586480559	37.7013147756396	38.5253999298473	30.015419768906	30.9465908218314	28.0048004453409	magenta	FALSE
AAEL000240	25.0151654247072	23.5846695825911	33.0606039078182	42.9171391771337	26.0906773281797	43.8239631395394	33.9380395844029	36.1740612285027	44.6378220706898	41.9301761951598	29.2877403226086	29.996497085605	turquoise	FALSE
