agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene763	2.04	7.83	34.7	92	185.06	170	27.2	19.5	10.4	13.01	24.97	25.61	17.99	27.46	70.4	64.82	36.17	20.42	3600.8	25.52	36.44	5.68	8.08	1909.85	1827.18	2.02	1.53	0	0	0	8.07	11.48	7.85	21.19	2.5
gene764	797.49	774.32	229.55	1015.78	2976.02	4235.15	179.82	111.75	87.08	46.16	95.48	159.69	139.28	157.32	294.56	259.66	95.85	70.06	14792.48	127.32	146.72	16.07	8.43	7274.33	6675.42	3.99	7.59	6.06	5.68	7.75	12.12	79.7	35.31	59.98	29.56
gene765	0	7.71	37.17	176.17	288.3	543.48	38.14	27.79	10.6	27	32.14	39.47	16.98	50.42	95.59	90.73	38.73	8.65	5039.36	29.56	79.39	9.08	4.04	2249.28	3211.95	1.99	0	1.99	0	0	3.5	23.47	2	14.3	4.53
gene767	3279.66	2944.17	1338.97	4937.11	13436.78	15948.06	124.99	89.13	54.44	108.48	261.49	273.39	417.5	470.24	1130.87	822.41	378.34	327	128083.26	846.02	699.74	201.9	62.61	90857.89	56897.83	60.17	37.73	54.16	54.72	45.87	101.96	114.49	140.78	103.2	91.7
gene768	2559.09	4243.55	922.53	2896.18	14380.75	18795.64	590.54	597.27	508.12	449.66	457.67	636.14	392.5	663.47	1775.63	1080.85	654.73	402.01	98849.72	926.61	1129.1	879.48	375.3	141650.21	74590.66	152.54	137.3	126.79	178.77	31.32	98.93	236.68	150.12	295.11	125.5
gene77	378.92	23.7	51.66	123.74	1223.86	1651.34	57.23	58.16	34.88	17.88	41.52	58.17	60.79	47.01	116.31	92.14	94.97	49.11	32637.67	86.37	104.53	9.11	10.11	15289.2	14877.58	2.6	10.1	3.35	1.98	4.05	15.33	63.85	37.36	52.15	16.99
gene770	0	0	0	0	0	0	118.25	15.41	30.7	5.35	45.11	47.46	64.83	31.88	89.11	147.08	24.43	18.82	5.72	37.22	73.22	21.61	6.94	0	0	11.09	5.26	11.7	16.81	3.65	4.6	15.61	3.98	7.73	13.21
gene771	0	1.99	4.99	0	80.42	447.92	23.71	16.67	7.5	10.88	4.71	22.09	5.96	11.4	41.73	36.84	0.97	1.06	920.31	3.38	18.22	0	2.1	617.19	69.46	0	0.32	0	0	2.02	2.02	4.76	2.17	2.1	2
gene772	1662.63	4113.11	1134.89	3324.15	11513.71	13184.77	397.09	334.19	195.57	177.6	552.25	622.5	406.14	509.96	1055.36	721.7	232.28	200.5	63017.28	367.13	556.49	87.31	70.32	48054.08	34912.83	30.83	24.04	50.51	39.24	31.87	34.98	179.8	83.01	180.47	47.71
gene773	216.38	2089.96	217.69	1171.24	5775.43	4667.42	14.55	19.32	11.1	15.62	199.07	297.87	358.48	247.33	564.56	416.28	154.59	121.21	43892.01	208.67	178.87	43	40.14	30926.13	30063.79	18.44	8.08	33.67	24.51	24.11	30.32	20.08	59.87	26.35	17.03
gene774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45	0	0	0	8.34	1.71	0	0	0	5.43	1.68	0	0	0	0	0	0	0	0	0	0
gene775	0	0	28	0	46.52	0	4	0	0	0	2.02	2.02	0	0	0	6.06	3.57	0.72	368.15	0.02	0.19	0	0	294.38	163.68	0	0	0	0	0	0	0	0	2.77	0
gene777	3236.77	5084.42	802.79	1948.52	12826.1	14188.66	397.42	287.9	296.06	97.84	459.72	516.13	830.02	634.6	1407.57	1253.15	1017.59	678.81	351611.37	1189.83	1337.9	174.25	127.38	190448.44	170600.17	52.08	32.38	96.28	72.42	83.87	111.36	254.75	257.89	105.87	118.06
gene778	409.12	566.7	231.08	557.19	3698.76	6082.6	295.22	153.72	193.33	77.01	151.13	183.55	236.38	154.71	351.2	272.56	65.79	27.53	10973.35	50.53	105.85	14.86	12.12	11369.8	8614.75	4.04	4.04	4.47	8.27	12.71	4.04	70.01	20	42.46	38.97
gene781	2734.38	664.47	450.63	1950.58	5461.52	6501.5	173.4	227.02	104.72	79.19	162.59	224.1	176.95	200.76	404.37	342.71	184.32	193.69	56168.14	310.33	367.82	39.59	23.27	38536.38	33576.91	47.98	16.15	44.96	17.78	19.8	16.88	110.66	88.65	154.44	53.19
gene782	23.73	238.1	302.24	135.78	2373.56	3069.07	234.61	125.76	113.58	68.55	126.88	203.16	145.07	158.22	408.34	265.58	79.44	90.88	21793.38	193.13	237	14.46	7.33	11429.33	14303.91	14.82	3.86	12.12	1.98	1.49	29.31	64.01	21.8	66.13	33.2
gene783	2332.25	5012.89	873.72	1780.45	6919.51	9027.72	318.06	234.19	157.18	154.46	285.44	396.67	446.75	418.2	1203.19	978.32	759.76	544.9	242238.89	919.03	1263.1	343.74	147.4	175741.59	193978.27	113.72	107.03	161.8	103.3	93.71	121.19	329.53	228.53	223.93	115.97
gene784	9.72	438.05	147.87	606.77	1763.39	1661.72	75.93	76.37	65.2	50.12	102.08	128.32	117.5	172.12	251.45	240.77	117.26	112.36	23058.52	120.14	183.45	18.67	24.24	13583.83	10984.86	9.19	6.06	8.08	6.06	4.27	25.89	46.5	22.72	33.46	17.94
gene785	619.62	1080.79	234.95	812.66	3394.36	3737.48	230.94	177.9	226.76	100.57	327.93	424.02	341.76	382.89	826.53	623.78	336.11	303.28	57652.47	573.18	548.23	82.94	58.12	36313.09	28301.41	18.68	27.48	70.46	21.81	34.46	31.99	98.8	46.38	120.17	40.4
gene786	333.76	195.74	342.14	962.27	3092.31	3220.54	368.16	225.97	200.37	97.43	308.62	310.78	479.56	321.08	757.02	569.38	550.93	427.08	95259.71	669.12	800.51	217.55	123.34	83146.36	71290.82	53.66	61.73	104.3	92.11	36.93	70.84	179.57	137.5	94.74	59.64
gene787	8.28	6	74.58	90.78	789.59	505.86	68.69	17.56	34.89	6	54.25	62.01	54.01	58.63	108.17	107.23	42.25	35.81	5644.65	53.79	58.08	2.02	8.07	4212.38	1873.54	4.04	1.81	0	2.01	2.01	0	29.37	12.66	21.31	12.73
gene788	3.4	13.58	29.75	13.11	749.04	1185.45	37.72	53.18	58.46	9.35	34.65	26.98	27.77	42.54	84.46	32.68	9.42	9.42	5859.28	25.7	29.19	0	0	2195.99	1229.75	0	2.02	3.63	0	0	3.44	27.27	4.32	16.57	16.24
gene789	6	391.84	75.58	200	853.39	836.79	52.23	60.43	30.91	14.86	42.58	44.68	86.51	77.47	118.8	112.96	51.89	50.96	16829.97	67.44	123.86	11.52	2.31	8848.08	5920.93	5.98	4.03	0	0.4	7.77	8.5	27.73	19.68	43.19	10.49
gene79	909.93	1362.94	295.97	914	3971.18	4968.05	101.83	84.48	57.75	57.24	142.71	161.32	164.05	165.44	461.42	255.93	156.6	114.2	30638.89	159.5	264.48	67.15	42.04	32458.38	18383.17	16.15	12.12	25.78	12.1	16.08	24.2	51.67	32.69	37.93	20.63
gene790	9	47.13	93.56	310.85	1402.05	1580.07	188.81	119.94	93.64	62.35	100.22	109.01	60.27	156.79	383.12	196.99	89.63	33.34	7457.39	123.45	266.21	37.47	10.1	6465.32	4579.76	7.44	5.85	16.29	8.69	8.08	18.73	43.09	20.72	37.69	19.7
gene791	7.87	24.59	69.72	257.4	588.8	972.86	109.28	103.09	70.05	31.76	75.84	91.57	64	71.91	268.99	179.7	32.65	35.33	5177.32	87.48	92.98	11	18.18	4205.6	3558.11	4.67	2.21	2.02	4.03	4.04	1.4	28.87	15.92	54.5	10.28
gene792	32.33	241.96	91.72	671.13	1997.87	1656.42	168.25	127.49	134.88	61.42	147.79	142.7	107	144.73	473.16	305.51	90.34	46.53	11542.64	77.46	173.77	29.69	18.67	8245.86	7689	2.37	8.4	18.11	2.02	4.1	16	65.03	10.02	41.86	14.21
gene793	2319.18	1156.62	493.75	1441.28	6132.48	6164.27	621.44	378.39	435.77	141.5	399.66	547.25	384.29	393.93	1110.67	821.69	316.7	207	17089.8	259.27	358.29	39.13	30.88	10585.33	8226.82	21.35	13.38	26.02	31.99	32.14	22.15	106.1	31.79	77.35	60.09
gene794	1171.58	609.42	302.93	1271.93	3049.46	4143.74	149.29	128.78	95.69	54.13	97.14	199.69	147.08	152.52	227.01	214.1	61.81	89.07	19719.04	107.33	110.92	22.5	3.93	14633.31	5892.59	4.32	7.81	12.03	11.71	2.68	1.95	42.62	17.18	33.62	12.99
gene795	482.95	509.89	166.14	458.36	2750.6	3396.46	162.22	98	106.37	37.57	130.33	141.79	115.5	108.92	351.53	309.41	117.98	67.39	13483.48	143.14	134.22	14.06	13.69	10226.6	5022.06	14.01	10.03	3.51	7.77	2.98	10.28	62.88	29.89	50.29	15.32
gene796	0	4	32	0	92	230	2	2	1.17	3	5.74	1.39	2	0	0	0	4.04	2.02	74	1.58	0	0	0	84.53	317.01	0	0	0	0	0	0	0	0	2	0
gene797	0	0	0	0	9.47	0	1.01	0	0.1	0	0	0	0	0	0	0	0	0	36.55	0	0	0	1.8	20.63	143.38	0	0	0	0	0	0	0	0	0	0
gene798	538	866	205.34	567.97	3819.38	3295.86	93.62	78	104.21	38.42	124.33	103.16	130.1	128.4	270.59	187.5	92.28	81.29	24787.63	154.48	145	31.28	12.05	12696.6	13255.61	6.05	8.04	19.38	12.05	6.45	16.69	91.35	39	71.71	12
gene799	140	411.99	59.28	448	1273.89	2048.01	26	46	29.63	20	45.85	62.19	52.28	76.67	161.84	124.06	46.3	54.5	12117.42	105.64	101.22	9.27	4.04	7300.4	6179.89	10.03	8.08	12.12	0	6.06	6.06	22.51	13.71	24.28	17.24
gene8	275.26	1265.44	397.29	1561.11	4127.81	6080.12	269.84	265.15	229.58	75.49	186.38	274.03	210.37	225.03	568.44	370.02	276.23	151.08	40373.02	413.22	316.39	67.21	39.32	23178.44	20730.44	25.9	11.45	25.61	17.76	38.36	48.42	205.58	101.97	170.59	72.29
gene800	0	0	0	0	0	0	34.41	29.4	14.03	1.81	19.31	24.11	13.48	19.27	53.75	40.28	34.26	21.82	0	58.65	31.76	1.16	1.9	0	0	1.7	0	1.76	5.07	2.24	0	28.68	12.7	29.8	7.73
gene801	0	0	0	0	0	0	21.08	34.59	17	2.97	16.17	22.71	7.83	22.88	42.57	29.71	7.76	6.67	0	24.6	12.53	1.58	0	0	0	0.17	2.02	0	0.03	0.71	0	20.88	8.56	10.03	6.93
gene803	2188.81	3304.18	635.36	3013.42	10198.34	12917.17	340.74	249.78	218.86	245.15	562.22	627.61	655.23	594.81	1045.16	997.54	435.48	412.45	169870.75	518.43	474.07	194.86	107.66	148757.56	73856.38	60.63	55.45	68.65	57.29	28.28	42.16	142.42	109.51	160.74	60.55
gene804	1294.66	2539.78	356.2	1519.06	5431.74	5538.29	391.51	225.14	230.11	119.72	437.2	417.22	474.08	482.8	1024.53	777.36	322.83	254.66	61041.05	364.25	400.1	108.18	52.97	56677.62	43720.35	28.12	21.97	34.33	25.48	10.1	13.89	115.36	75.1	134.77	41.25
gene806	288.01	725.5	92.36	303.21	1071.97	787.38	314.17	330.61	200.29	126.61	254.45	297.24	304.1	313.82	799.25	583.78	456.4	316.86	15409.87	646.54	722.53	153.07	75.27	9642.82	9310.28	42.37	63.22	58.48	53.37	41.61	76.67	142.38	59.12	138.5	86.32
gene807	6	242.55	63.5	417.28	978.6	978.3	82.5	62.18	36.86	24.62	60.63	60.17	71.05	70.69	158.43	135.93	45.19	42.5	12789.7	73.53	105.61	9.8	3.83	4976.93	4384.1	0.49	0	4.04	4.03	9.48	12.81	41.52	14.53	53.45	13.2
gene809	10	644.5	145.81	315.52	1665.11	1851.64	79.44	17.74	26.72	20.15	165.83	141.22	104.79	91.22	224.74	151.89	101.13	99.49	11834.15	69.65	70.49	22.56	4.02	10007.24	4995.21	3.84	10.1	9.09	4.18	2.09	0	22.18	10.58	13.15	19.61
gene81	480.21	70.09	115.09	85.06	1935.43	1329.95	202.13	174.2	117.34	74.65	233.73	217.89	186.92	232.54	638.58	426.64	161.33	127.18	16450.77	191.9	373.57	32	33.42	11615.68	14670.5	0	16.16	23.45	21.61	1.45	12.71	43.92	26	59.24	24.74
gene810	0	0	0	0	0	0	82.97	48.2	56.24	15.5	56.96	25.26	41.14	56.28	119.71	56.96	41.37	29.93	0	36.52	45.43	1.8	2.93	0	0	0.82	5.93	2.74	0.43	0.05	4.58	33.13	12.49	13.17	17.57
gene811	0	0	0	0	0	0	16.51	2.75	2.4	1	7.36	15.23	7.21	2.91	10.35	5.43	1.83	2.4	1.51	0	8.47	0.56	0	14.87	1.68	3.61	0	3.9	0	1.65	0	1	1.69	1.96	1.36
gene812	1028	26	46	170	911.63	1144.56	30.65	35.52	22.28	11.65	31.31	34.7	27.1	15.35	69.74	57.64	13.41	32.88	7577.34	71.04	54.63	12.12	0	6373.11	5248.66	10.55	2.02	3.93	4.04	6.06	2.01	21.32	21.45	28.5	3.51
gene813	0	0	0	0	0	0	8.2	4	0	0	4.04	5.51	2.19	1.79	17.58	16.97	4.01	11.14	0	18.64	7.05	2.02	5.12	0	0	1.5	0	2.02	2.02	1.49	0	8.25	3.67	1.09	4
gene814	4	0	0	0	260	522	6	1.8	22	0	9.58	4.04	10	0	7.7	6.06	2.02	14.21	2213.89	20.19	18.29	2.02	6.06	2241.61	1583.47	6.45	2.02	5.85	9.73	0	2.02	9	2	2	2
gene815	1111.07	2727.53	321.29	842.76	2730.72	2983.18	347.67	261.37	221.77	105.12	259	244.75	323.07	258.79	568.71	429.9	220.9	98.66	43323.54	247.04	363.32	48.41	43.7	24174.8	16816.47	15.22	11.77	14.42	5.92	12.82	23.86	111.04	73.01	85.7	57.96
gene816	7.34	60.99	273.56	1017.95	1972.46	2164.54	179.08	115.59	77.28	35.5	136.07	126.43	123.18	120.41	317.51	222.66	77.05	49.52	6926.31	87.37	186.26	35.85	20.62	4142.67	4961.93	10.1	20.2	12.8	12.12	6.06	6.93	30.59	14.42	29.29	4.65
gene817	508	489.39	208.42	226.03	858.05	1242.71	69.77	67.76	29.67	48.15	55.14	27.34	40.71	56.12	133.99	105.12	18.11	26.96	3991.68	24.57	54.37	20.2	4.04	1905.61	3532.36	6.04	0	1.83	2.02	4.04	1.51	19.47	14	23.06	3.2
gene819	60	9.6	91.35	126.65	392	1203.71	70.32	61.85	44.01	13.95	44.26	89.22	49.29	48.55	149.5	99.06	44.4	26.24	7522.52	54.43	79.86	5.94	4.4	4190.64	6146.97	3.57	4.04	13.69	2.02	0	2.02	29.05	12	20.24	12.68
gene82	12.66	680.05	108.72	506.89	1249.32	1199.01	106.66	126.7	75.44	28.46	105.6	152.1	102.92	99.24	318.38	223.64	138.28	56.99	11347.6	128.22	192.31	70.5	46.11	10387.68	10473.3	14.14	16.16	9.88	7.99	8.08	25.13	77.72	16	51.36	23.13
gene820	0	2	38	0	106.11	424.42	4	4.37	2.73	4	6.65	8.05	13.31	13.64	45.14	45.44	29.54	16.11	2490.82	22.18	22.55	0	14.03	3167.17	2038.72	3.71	4.04	5.01	0	0	0	3.68	0	6	0
gene821	0	2	0	22	57.27	78.5	14.76	14.99	21.75	2	15.45	29.87	38.56	22.71	82.31	63.98	32.12	36.07	4533.69	51.48	36.47	6	4.04	5186.21	3523.48	4.04	2.31	2.02	4.04	1.88	3.72	17.43	2	8	11.12
gene822	1463.15	856.26	237.66	878	4081.91	3953.05	250.24	275.44	110.99	107.67	256.66	271.8	202.12	263.39	553.05	538.91	327.06	319.5	57141.66	321.95	474.98	133.98	62.49	57284.38	37145.03	21.37	14.62	28.71	32.05	14.14	36.08	144.48	58.48	135.74	36.73
gene823	5.92	44.91	24.16	353.62	518.85	948.02	65.88	38.13	44.44	36.95	55.84	74.95	98.85	48.84	152.7	140.09	66.03	46.67	11767.6	71.65	83.36	17.13	4.03	11478.85	7077.85	11.78	2.24	6.03	5.78	0	4.02	36.74	14.05	14.86	10.07
gene824	458.77	710.46	181.98	615.65	2768.3	2464.6	109.07	70.92	58.66	49.49	81.9	97.22	78.65	76.27	272.77	159.28	73.97	61.02	25943.74	96.58	107.98	30.71	7.38	23496.63	14711.58	15.84	9.32	12.96	3.34	1.26	6.47	65.83	27.06	37.92	20.24
gene826	11064.65	17946.65	8924.12	29555.03	101457.29	123063.79	4440.48	3729.98	3145.09	2349.95	5361.33	6117.1	4272.87	7484.96	13927.13	11321.85	2742.04	2131.56	591475.37	4466.41	7743.2	1792.93	865.21	552381.96	354231.08	627.47	424.8	498.99	415.98	202.83	532.64	1142.17	895.08	1244.88	658.87
gene827	493.43	588.34	317.5	1455.77	7540.26	8691.23	441.59	403.18	342.46	183.05	407.05	520.38	358.94	474.61	856.79	896.16	510.97	348.75	60064.23	717.84	1074.98	419.46	229.32	59297.23	31999.54	106.26	114.03	82.93	96.67	32.72	54.44	140.14	84.5	110.1	44.08
gene828	827.76	2333.7	441.85	1671.18	6280.79	6608.89	391.38	279.3	300.67	146.42	322.33	407.91	288.01	428.1	823.25	657.5	176.84	189.19	47845.62	222.83	386.13	23.91	32.42	24565.99	20099.68	13.9	15.87	32.22	13.03	8.19	28.61	130.16	47.73	111.4	66.55
gene829	2752.46	3206.48	911.4	3199.75	10435.99	15451.62	799.46	490.74	525.45	200.03	568.35	662.28	693.96	686.67	1370.9	1111.17	537.43	494.98	177936.38	714.18	793.4	106.66	74.54	95852.66	98008.03	38.18	44.44	83.36	24.98	17.17	76.72	364.99	216.08	318.53	95.24
gene830	2315.85	1779.93	427.05	1554.81	6792.94	10660.77	347.3	303.54	271.86	186.92	401.03	439.64	356.38	448.26	934.68	747.43	317.64	288.73	63199.58	458.7	465.16	71.41	86.25	45439.81	35920.76	49.78	60.55	55.5	25.12	16.54	44.98	159.43	77.05	160.04	52.84
gene831	3200.48	2985.96	677.99	2967.97	11639.51	13427.74	465.31	359.74	345.93	122.84	442.32	447.04	407.92	475.35	972.58	851.58	222.11	218.65	80258.99	398.17	400.85	60.93	44.97	39704.34	32053.66	34.31	26.37	30.48	13.38	20.6	37.1	260.76	158.79	243.62	103.23
gene832	27.04	181.3	15.06	54.39	353.9	968.93	107.02	57.5	78.36	34.11	74.9	99.36	90.3	82.86	189.02	175.13	78.51	33.8	2578.37	84.88	106.25	11.54	8.53	1412.87	1253.46	7.41	0.23	12.69	1.9	5.56	14.35	51.29	46.16	46.55	38.02
gene834	8305.3	13658.22	2493.91	9817.68	29343.78	34922.47	248.73	191.13	173.15	259.47	730.78	757.5	1166.53	952.8	1998.74	1761.89	1022.75	789.43	498188.92	1268.22	1206.89	417.44	284.76	402015.88	319342.12	145.14	114.25	184.01	87.4	99.57	156.52	197.2	470.81	209.84	174.84
gene837	489.7	4200.21	893.42	1846.81	5752.39	8499.09	414.94	241.91	312.56	205.71	555.63	513.1	564.01	569.35	1419.38	1024.57	395.84	250.41	75443.81	597.63	702.12	130.4	75.1	40495.31	26196.77	44.31	19.63	46.18	7.58	44.23	86.85	156.64	81.47	168.76	104.12
gene838	1612.35	1954.55	437.47	2360.34	6150.15	6093.07	447.75	388.51	271.92	159.16	278.19	251.47	393.71	350.1	786.75	651.65	417.52	282.2	100777.32	582.23	917.19	373.52	159.08	156977.56	95723.07	87.89	92.21	120.57	69.41	47.25	70.81	309.01	202.95	250.06	112.59
gene839	731.23	799.38	157.71	582.42	3144.5	3047.89	283.33	144.56	152.33	109.49	363.27	347.43	370.59	415.14	956.29	693.51	178.62	179.5	35352.67	295.77	359.07	47.67	36.99	24444.85	18229.87	5.35	8.49	27.08	12.31	6.68	14.64	82.18	49.35	51.79	50.95
gene84	1.87	1.87	0	0	0	58.1	0	2	0	0	0	0.14	0	0	1.25	0	0	0	199.76	3.96	0	0	0	59.93	174.15	0	0	0	0	0	0	0	0	0	0
gene840	804.77	1896.72	561.6	1535.05	6092.19	8557.56	173.51	78.53	145.26	95.78	480	431.97	666.92	503.13	1268.37	897.12	403.53	272.23	97469.71	513.01	597.25	95.24	75.8	63129.41	50586.12	47.24	23.39	65.82	24.1	24.94	39.19	99.94	105.41	35.42	59.46
gene841	1016.21	1535.16	361.98	1357.38	4387.31	6947.22	331.64	225.64	155.73	117.66	419.15	424.06	732.51	465.25	1378.59	889.04	526.27	359.86	90646.26	598.64	861.29	85.72	38.36	50388.86	41298.04	28.04	33.72	56.69	35.35	36.47	31.26	240.11	141.89	159.98	103.85
gene842	578.96	9.6	29.04	105.27	1088.68	617.14	167.7	93.73	99.4	33.41	98.98	91.43	164.47	153.3	425.51	279.9	222.35	150.01	6282.4	317.33	311.04	24.8	22.19	4662.91	4271.84	22.67	11.01	28.58	21.12	28.45	33.11	98.22	10.98	40.71	25.68
gene843	389.17	39.75	20.93	352.33	606.26	1163.34	23.99	10.17	4.4	1.6	25.98	18.65	35.19	28.74	58.96	58.54	42.31	21.63	14179.97	42.79	74.25	4.82	6.01	6152.86	4568.39	6.03	4.12	5.17	3.33	1.45	5.25	27.34	14.38	15.84	6.82
gene844	114.18	198.28	114.21	286.52	1101.13	1322.64	28.89	11.27	8.14	5.18	61.75	38.59	65.32	64.27	126.96	130.76	61.65	35.23	21350.15	101.18	105.85	13.84	0	9913.13	6026.94	5.01	3.89	14.9	4.67	8.46	19.63	33.37	34.79	61.01	9.84
gene846	0	0	0	0	0	0	5.17	1.96	3.62	1.73	4.65	2.67	5.1	5.49	14.82	3.43	1.26	3.66	0	1.54	3.7	0	1.83	0	0	0	2.16	0	0	0.73	0	0	0	0.62	0.65
gene847	0	0	0	0	0	0	5.95	0.92	1.09	1.51	6.63	7.87	7.99	9.84	9.79	25.86	1.52	1.88	0	5.76	7.7	0	0	0	0	0	0.17	0	0	0	0	1.72	0.22	2.31	0.33
gene849	44.54	442.23	47.02	65.88	895.94	1171.99	62.79	31.72	48.49	24.78	47.21	57.87	92.99	74.52	122.79	116.1	48.29	28.67	14688.11	81.27	100.58	27.48	3.68	8864.15	3959.75	4.07	7.31	7.97	4.95	5.89	5.2	25.97	18.34	27.19	9.5
gene85	0	0.62	0	0	0	16.01	0.77	0	0.96	0	2.67	0.59	0	1.87	4.34	0	4.84	0	273.33	1.87	1.68	0	0	79.41	64.05	0	0	0	0	0	0	0	0.68	1.73	0
gene851	1350.64	1427.07	487.88	1679.25	6987.04	8192.36	626.82	481.86	388.23	213.24	491.24	621.01	758.8	639.15	1473.61	1127.14	702.13	559.89	119638.37	946.47	1298.54	364.15	244.8	120450.64	44145.93	93.22	109.64	62.8	74.7	38.47	99.93	203.37	121.4	173.93	120.76
gene852	24	60.94	155.96	782	3488.27	4837.27	124.55	91.94	77.47	103.9	160.02	153.51	198.37	215.02	578.2	288.65	144.68	99.22	27121.58	211.48	263.83	159.52	71.46	41208.92	15657.02	34.2	15.62	12.04	35.9	14.76	19.65	77.99	44	52.59	14
gene853	0	0	4.66	0	90.07	0.22	44.56	27.22	18.99	23.51	50.57	46.39	53.96	53.87	180.83	84.05	39.15	30.59	465.89	22.81	41.45	5.37	3.99	608.06	568.01	3.29	5.19	7.74	0.16	1.6	4.23	13.7	4.56	6.39	8.43
gene854	0	15.4	45.17	96.07	342.75	292.3	46.91	14.61	32.04	17.58	50.73	54.08	79	69.53	136.96	112.35	49.31	67.48	5278.21	32.45	55.5	19.72	2.66	6306.34	3076.49	4.55	1.92	5.97	8.61	0	0.19	11.12	7.33	12.63	10.31
gene855	1936	1277.68	481.78	1458.65	4210	5653.83	466.56	287.5	266.5	196.67	572.24	557.66	578.98	541.09	990.76	845.86	342	247.12	46619.64	538.67	474.63	108.71	85.09	43675.5	25371.83	40.61	45.98	37.84	28.2	23.94	19.12	91.71	52.27	94.45	51.92
gene857	1256	4269.85	656.05	1918.15	7727.77	8189.99	305.28	238.48	207.07	131.94	319.62	348.98	566.05	355.11	869.07	542.93	313.98	197.98	57493.5	354.52	431.34	116.23	49.28	52022.01	35765.93	39.55	19.57	36.07	26.16	19.63	36.68	153.85	78.49	100.44	36.93
gene858	16	40	140.64	454	1441.12	2399.44	46.21	63.87	29.47	22	72.69	49.16	54.88	49.3	150.61	119.42	46.1	35.94	13624.77	66.89	111.29	6.06	18.15	7955.25	8307.52	8.08	1.92	7.17	6.02	8.08	8.08	58.8	16.58	61.7	29.02
gene859	0	0	0	0	0	0	6.49	7.93	4	6	7.79	4.04	1.29	2.35	7.94	4.65	2.98	6.61	0	4.04	3.78	9.89	0	0	0	1.95	0	0	0	0	0	3.5	0	6.52	0
gene86	0	5.3	0	0	0	137.92	0	0	2	0	3.1	0	0	0	1.68	0	6.59	0	222.4	0	2.02	0	2.02	45	167.52	2.02	0	0.89	0	0	0	2	1.26	0.23	0
gene864	14.09	2295.63	303.59	617.56	3634.75	4044.86	100.15	58.31	92.88	80.32	132.22	126.47	176.06	125.24	376.95	216.77	59.8	63.03	10999.59	71.72	108.26	44.89	4.2	9347.23	5469.15	12.06	2.02	14.49	4.04	6.46	3.75	42.68	28.74	30.36	10.84
gene865	1105.2	1164.42	308.15	460	1620.21	2443.58	168.36	91.87	94.57	41.33	106.62	75.29	110.93	108.02	331.89	207.69	124.17	57.71	12294.97	111	194.16	39.19	21.43	12222.44	8085.3	15.26	9.33	18.18	5.86	8.08	6.05	36	18.45	24.11	21.96
gene866	26	566.16	407.28	704.97	5024.78	5821.21	204.19	153.72	140.91	80.27	115.58	137.5	133.47	128.64	357.02	362.62	286.27	237.35	95816.82	260.96	390.64	90.42	14.12	76659.88	51070.66	23.58	25.94	31.46	33.68	12.43	17.9	94.04	34.01	86.51	16.01
gene867	182	784.64	187.88	484	1137.07	2098.7	116.5	113.78	87.88	26.53	79.87	90.18	80.64	90	256.28	165.13	61.91	79.93	10793.55	89.09	125.41	16.16	8.23	7710.99	4042.63	8.08	0	11.85	8.68	7.45	9.72	43.35	23.02	30.62	21.72
gene868	2224.47	2316.38	1161.42	3025.15	9746.87	11701.75	868.36	525.92	479.39	363.98	871.72	1091.59	1308.56	1134.75	2487.51	1856.94	888.94	562.64	152167.58	1150.31	1332.3	342.6	156.59	102296.72	63262.21	80.04	68.35	109.72	44.07	70.84	117.84	251.38	133.46	224.95	135.5
gene869	748.7	613.52	104.95	704.31	1366.68	2314	148.15	167.08	117.8	40.63	75.24	74.58	95.89	125.15	262.61	143.91	84.04	55.32	31899.56	172.2	154.63	30.35	8.02	14731.85	8219.84	10.9	3.55	7.79	5.63	10.06	19.51	97.63	40.75	51.72	17.16
gene87	0	0	0	0	0	0	0	2.97	0	0	1.24	0.81	1.99	1.9	1.83	2.11	3.56	2.02	97.15	0	1.27	0.64	0	121.48	199.95	0	0	0	0	0	0	1.07	0.14	0	0
gene870	79.12	100.81	187.85	438.82	965.71	2104.77	74.92	97.35	62.1	39.43	66.42	90.58	80.17	85.35	194.2	129.82	135.24	82.69	36823.42	158.04	260.73	71.97	31.22	42610.19	19962.48	34.47	19.66	24.52	37.39	24.95	36.83	61.45	34.35	68.23	16.94
