agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00230220	9034	10924	26542	22398	1866	2042	20704	24998	4294	3967	35339	31415	918	1084	821	3865	14243	14961	11200	9731	8989	10467	13510	14817	11574	14366	26430	22626	11737	12337	10819	12147	8880	8976	1193	4059	2893	3023
Gene:WBGene00230222	1714	1757	4355	3679	125	130	8454	9461	698	602	3619	3642	586	915	481	851	1990	2596	1971	1591	2053	2044	1894	2153	1565	2043	3499	2928	3435	3423	2791	3161	3644	3848	1041	904	1841	674
Gene:WBGene00230224	101	100	1060	1018	73	96	7845	9093	1394	1099	7716	6991	1841	2291	1461	2004	5240	6031	4583	4037	4299	4322	3805	3956	3192	4351	4045	3021	1015	925	806	1035	107	137	223	153	304	106
Gene:WBGene00230225	2255	2899	4528	3792	260	288	5370	6431	795	634	4106	4575	601	963	558	838	1979	2306	1821	1625	1580	1553	1894	2123	1651	1945	2615	2174	3351	3658	2927	3438	4248	4162	1456	3417	2355	2520
Gene:WBGene00230226	916	739	6355	4660	875	839	5082	4954	2012	1223	3234	3166	379	503	285	429	1125	1374	4219	4862	1102	1495	1331	1535	3280	1443	2839	2457	2904	3409	2616	3290	5977	5714	914	691	1232	453
Gene:WBGene00230227	4166	4742	5160	4481	216	229	8291	9287	1178	918	4380	4876	437	776	515	621	1674	2075	1279	1145	1460	1391	1822	1999	1527	1840	2544	2097	3079	3259	2468	3132	4985	4952	1382	907	2084	700
Gene:WBGene00230230	92	140	1823	1964	180	199	4567	5119	1156	1009	2510	2537	2365	2442	1392	2948	15418	17253	13009	12602	8041	8762	13885	13565	13015	15110	4275	4335	1616	1865	1398	1850	2728	2819	274	200	395	128
Gene:WBGene00230231	0	0	12	6	4	7	3	2	2	0	21	15	3	17	13	2	0	17	2	1	2	6	7	14	16	21	3353	3487	5	7	2	4	3	1	0	0	1	0
Gene:WBGene00230233	3251	3476	7116	6682	2803	2932	13458	15281	12181	10891	98202	74524	11891	24090	12931	15667	24511	48982	33606	35570	28188	32549	24114	31154	24798	32213	29098	23275	20091	18960	17361	18915	20228	20898	5062	6603	8668	6277
Gene:WBGene00230234	0	0	22	26	0	0	58	56	3	7	68	69	5	9	6	5	5	11	8	7	9	2	11	9	2	2	4866	4652	15	24	19	14	36	30	14	14	19	4
Gene:WBGene00230235	0	0	0	3	0	4	2	3	0	0	25	21	0	6	0	2	4	3	1	4	2	1	1	4	3	2	19	22	136	163	102	124	192	194	1	0	5	1
Gene:WBGene00230236	3	82	125	133	9	6	1409	2151	149	160	1264	1625	13	26	8	33	50	34	323	221	17	25	16	24	16	23	4176	4085	22	14	23	29	126	130	96	58	137	45
Gene:WBGene00230237	0	0	1	6	0	0	167	145	34	31	480	356	402	505	359	294	968	692	732	797	610	843	302	244	150	182	335	379	8	9	8	16	0	0	1	0	0	3
Gene:WBGene00230238	0	0	0	3	0	0	276	277	35	31	207	224	2	3	2	4	3	6	4	9	26	14	10	4	9	18	2921	2624	97	111	93	111	105	100	0	3	3	3
Gene:WBGene00230239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	1148	0	0	0	0	0	2	1	0	1	0
Gene:WBGene00230241	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	4	1	912	728	711	734	579	630	1	0	1	0
Gene:WBGene00230244	2	18	134	101	2	2	220	234	28	25	60	52	14	45	14	29	55	72	58	41	29	45	49	45	19	27	176	182	53	49	61	67	162	193	55	55	122	34
Gene:WBGene00230245	1	3	352	387	44	23	752	859	183	135	303	297	19	34	31	34	236	200	238	146	171	233	704	666	332	340	602	561	305	381	231	332	887	1087	10	10	17	7
Gene:WBGene00230246	584	729	1576	1472	137	149	2596	2893	586	482	3049	3808	305	409	260	589	1360	1565	1324	1021	969	979	1797	1831	1317	1448	3017	2554	3317	3697	2973	3340	4545	4517	699	721	1286	476
Gene:WBGene00230247	0	0	90	115	7	8	153	114	19	19	45	52	10	9	10	8	29	19	26	18	34	40	21	18	10	9	1760	1510	22	11	25	16	37	39	10	9	12	5
Gene:WBGene00230248	226	574	2903	2297	160	144	2663	2846	357	249	1710	1584	248	368	217	356	1218	1421	1067	1023	1151	1132	1598	1558	1346	1445	2243	1840	1674	1797	1507	1793	1844	1820	230	183	316	131
Gene:WBGene00230250	1	11	7	3	0	0	8	0	0	1	9	13	5	5	5	9	22	15	27	16	17	13	14	17	6	9	1021	1228	13	16	13	17	14	25	21	21	16	13
Gene:WBGene00230253	0	1	27	0	0	1	34	59	0	6	26	34	3	15	1	4	5	6	15	8	9	4	4	3	1	6	2	2	10	11	11	19	28	37	11	11	12	6
Gene:WBGene00230255	4679	5477	10959	9255	405	599	10799	12064	1172	973	6356	7321	1058	1687	939	1810	3187	3849	2896	2655	2643	2499	3235	3389	2840	3284	6087	4904	5564	6061	4596	5737	7553	7506	1512	1456	2996	896
Gene:WBGene00230256	12089	12593	38670	37553	1252	1741	23083	21717	1970	1324	1310	1399	357	32	28	775	18865	13737	10836	9766	119	102	1310	1200	333	477	11	9	145	139	105	152	368	479	1	2	9	0
Gene:WBGene00230257	1	1	21	3	0	2	424	462	118	105	119	80	9572	3855	2620	14505	42179	47515	21973	16124	11389	14653	17071	13124	17273	22414	108	73	16	6	18	7	7	1	4	0	7	0
Gene:WBGene00230258	2285	2041	4390	3667	117	127	5680	7110	427	302	2539	2570	676	890	520	982	2343	2615	1794	1577	1120	1091	2622	2844	2078	2179	7033	6374	3720	3964	3313	3614	5381	5128	733	759	1318	386
Gene:WBGene00230259	1693	1198	2684	2754	123	146	2927	3601	373	284	2647	2931	513	659	441	566	1863	2074	1269	1197	1266	1291	1971	1985	1588	1874	3643	3302	1622	1605	1376	1530	2386	2269	514	390	754	241
Gene:WBGene00230260	239	114	187	173	7	17	298	452	25	33	265	240	39	72	43	29	135	123	111	96	157	168	347	325	159	250	759	757	689	657	497	619	913	993	35	20	51	14
Gene:WBGene00230261	0	0	6	0	0	0	12	5	0	2	32	14	16	18	14	13	23	14	38	20	11	10	35	42	41	37	40	16	6	8	5	7	7	10	2	6	6	0
Gene:WBGene00230262	69	75	35	62	0	8	3840	6716	994	1159	42409	36613	1544	4412	1982	2212	3815	4762	1848	1693	6872	6078	1352	1294	1923	3868	10231	7592	3714	2625	2096	2801	39	41	97	82	114	88
Gene:WBGene00230263	154	305	624	512	62	59	711	858	134	123	513	583	225	290	207	205	628	682	506	359	641	650	777	784	755	858	1005	790	3138	3253	3331	3271	3027	3230	160	212	208	139
Gene:WBGene00230265	556	599	2841	2760	182	200	8411	11079	1580	1382	5407	5515	728	747	480	1200	5807	6314	4293	3151	7194	7232	9548	10499	8451	10094	10653	8400	4567	4805	4092	4853	1161	1347	467	530	693	318
Gene:WBGene00230267	225	489	5699	5545	186	198	4197	4151	293	241	827	974	209	247	148	282	991	1175	1828	1319	1171	1195	1718	1897	1312	1727	4943	4329	7197	7647	6123	6770	7749	7447	201	206	335	118
Gene:WBGene00230268	4968	4139	11607	10484	369	412	13174	15055	946	891	4765	5298	397	718	334	1016	3406	3524	2892	2305	2680	2702	3570	3805	3133	3544	6746	5777	3788	4650	3311	4017	3899	3900	657	946	1641	575
Gene:WBGene00230269	2207	1923	3806	2855	123	132	5160	5799	509	504	2953	3495	362	590	335	447	1358	1556	1196	1036	913	939	1221	1443	1034	1136	1375	1208	1304	1353	1055	1366	2321	2215	511	322	782	244
Gene:WBGene00230271	0	7	5	8	0	1	61	94	0	10	41	35	0	4	6	1	12	8	10	8	4	8	8	3	6	0	2309	2220	49	33	22	34	34	44	3	13	11	1
Gene:WBGene00230273	1680	2307	4331	3939	267	339	7704	9835	1179	1114	6015	7398	817	1215	680	1606	3481	4149	3680	3078	3386	3330	4415	4621	3837	4086	5640	4697	4606	4873	3714	4723	6479	6420	1542	1415	2668	761
Gene:WBGene00230274	2170	2870	5453	4621	230	321	10426	12876	1295	1007	7522	7691	907	1328	747	1471	4282	4441	3853	3429	3576	3391	5113	5276	4563	4766	4649	4092	6411	6941	5625	6442	7552	7329	1194	1184	2674	727
Gene:WBGene00230275	2210	2075	5739	5077	244	400	11134	12768	1605	1484	12418	12802	315	350	234	939	3567	3885	2877	2530	2191	2211	3521	4137	2976	3529	3408	2776	4653	4962	4080	4693	5445	5378	1605	1424	2568	955
Gene:WBGene00230277	3	0	13	7	0	0	18	34	18	5	10	2	5	1	1	3	17	4	5	8	7	13	23	18	10	19	107	72	12153	12717	12091	11570	11067	10503	12	8	13	1
Gene:WBGene00230278	137	526	1403	1205	87	113	5873	7307	960	955	5611	5277	607	865	501	812	1291	1530	1331	891	1544	1197	1129	1248	1014	1058	1583	1197	1873	1646	1592	1750	2178	2268	908	579	1405	375
Gene:WBGene00230279	0	0	2	9	0	2	27	6	0	0	7	19	2	1	1	4	1	6	5	2	15	6	26	13	14	20	24	10	27	25	30	32	58	59	12	23	19	12
Gene:WBGene00230280	3832	5204	9875	8398	428	532	11509	13301	1475	1233	7551	7887	1072	1776	946	1694	3430	4339	3316	2791	3387	3048	3916	4053	3375	3598	4669	3978	5149	5545	3983	5235	8382	8153	1818	1481	3335	1112
Gene:WBGene00230281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	8422	8401	1	0	0	2	3	3	0	0	1	0
Gene:WBGene00230282	0	3	38	32	0	1	1020	1334	283	341	675	473	8	40	31	9	52	76	71	29	37	48	84	61	31	19	28	27	714	969	471	687	2250	2587	102	64	114	37
Gene:WBGene00230284	0	0	9	9	0	0	41	52	6	14	85	83	64	119	88	83	26	34	38	52	14	24	32	42	15	15	25	20	33	11	20	30	89	89	70	40	85	42
Gene:WBGene00230286	0	0	196	154	71	56	29	16	26	2	10	3	64	2	1	30	154	97	197	130	1	4	144	132	24	26	4	2	305	323	289	280	356	392	0	0	0	0
Gene:WBGene00230287	0	0	10	12	0	0	54	80	5	8	39	52	20	21	7	29	76	88	56	92	47	67	95	55	27	27	246	193	632	713	671	694	11	11	5	3	8	5
Gene:WBGene00230288	78	69	161	157	6	9	389	543	80	143	898	813	35	76	50	48	78	156	77	82	119	188	77	81	55	53	792	499	329	305	341	344	233	234	187	117	260	122
Gene:WBGene00230289	0	0	0	5	0	0	18	30	10	0	6	13	0	0	0	2	11	2	7	6	13	11	16	20	8	22	578	482	37	48	52	45	3	0	4	2	1	0
Gene:WBGene00230292	3357	2169	3514	3116	158	234	8107	8832	1250	928	2850	3359	602	621	460	839	5908	5304	8370	8580	2047	2286	2239	2270	3701	3585	1441	1366	823	746	637	916	1013	921	459	276	730	212
Gene:WBGene00230293	0	0	53	74	4	6	281	506	102	82	176	152	35	43	26	34	134	98	101	83	145	180	389	279	8	38	706	596	41	59	39	52	74	80	43	19	58	16
Gene:WBGene00230294	0	0	0	2	0	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	5	2	2	1	0	6	0	4	5	0
Gene:WBGene00230295	23	1	300	293	17	30	834	1014	184	119	291	339	124	194	72	181	462	673	768	724	399	429	944	858	865	837	2845	2526	458	451	405	528	348	390	24	12	30	9
Gene:WBGene00230296	9	8	2063	1905	105	89	3548	4587	465	400	902	1037	812	1181	630	1406	2115	2695	3602	3502	2134	2245	3758	3361	2763	3429	15746	15275	2037	1655	1111	2280	868	941	168	121	223	57
Gene:WBGene00230297	0	0	2	0	0	0	0	0	0	1	12	2	1	0	1	2	0	2	1	3	0	0	1	0	0	0	919	783	3	2	8	3	0	2	0	0	1	0
Gene:WBGene00230298	275	103	745	671	62	64	336	369	76	33	151	220	80	102	88	86	164	255	153	151	412	422	455	585	570	716	4271	3504	2999	2918	2480	2738	3156	3100	25	27	39	14
Gene:WBGene00230299	26	122	656	452	31	31	736	791	102	70	424	486	111	123	85	225	318	313	313	274	245	226	332	374	263	339	1687	1452	575	550	496	538	701	752	278	225	463	154
Gene:WBGene00230300	1543	1726	4991	4509	258	308	6096	6952	775	664	4520	4409	665	1023	624	1004	2574	3078	2623	2284	2115	1891	2468	2645	2137	2576	3307	2845	4807	5089	4310	4681	5557	5390	829	549	1386	433
Gene:WBGene00230301	0	0	12	14	0	0	17	20	0	0	2	3	7	3	2	2	7	12	13	14	17	8	11	7	2	12	1076	1280	2	3	4	9	4	6	4	0	9	1
Gene:WBGene00230302	5760	6518	13774	12030	308	424	20335	25472	1534	1312	9342	9808	1554	2349	1229	2450	4280	4719	3909	3392	3331	2835	5083	5117	4056	5105	8554	6886	5685	6936	4727	5722	7760	7429	2045	2040	3837	1310
Gene:WBGene00230303	0	0	0	0	0	0	1	0	14	12	56	66	17	34	17	46	19	24	17	21	11	17	16	25	15	12	109	84	15	10	10	16	53	58	50	29	64	18
Gene:WBGene00230305	1067	1078	3014	2600	345	308	3385	3592	891	767	3914	3551	458	712	442	538	1772	1908	1749	1557	1374	1642	1918	1947	1649	2174	5399	4573	3540	3622	3118	3073	3175	3149	510	597	816	424
Gene:WBGene00230306	514	603	1046	964	51	77	1237	1401	174	203	1356	1352	96	225	125	216	429	568	471	398	430	382	416	378	344	495	995	723	4659	4390	4148	4240	4210	4116	383	242	603	168
Gene:WBGene00230308	1	0	66	55	10	17	93	116	59	71	417	550	351	515	371	707	48	130	93	96	46	81	68	73	59	37	771	729	144	146	130	171	157	180	1932	1016	3040	761
Gene:WBGene00230309	0	0	0	2	0	0	8	20	0	0	0	1	3	5	8	4	1	0	0	1	0	2	1	0	2	0	8	13	3	0	3	2	2	0	1	0	2	0
Gene:WBGene00230312	643	688	1687	1308	76	71	2498	2743	323	207	1259	1123	290	419	239	317	770	884	737	693	578	513	639	903	641	714	1215	1070	868	919	700	862	1036	1007	257	171	410	169
Gene:WBGene00230315	0	0	94	76	1	0	38	43	3	2	33	13	8	13	10	7	24	22	11	10	66	60	204	117	17	39	143	104	20	15	12	12	24	34	0	3	2	3
Gene:WBGene00230316	190	88	9518	8023	913	1098	4331	4919	1051	757	1645	1527	224	121	87	271	6292	4383	30561	28806	423	707	2124	1523	1630	1998	308	297	1339	1541	1133	1516	1730	2367	59	106	60	59
Gene:WBGene00230317	2669	3301	6720	5974	285	413	9826	11971	1138	1118	10695	10214	998	1556	929	1518	3750	4406	3293	2670	3071	3033	4686	5253	4219	4330	11501	9854	5489	5882	4644	5300	6455	6212	1556	1594	2481	1298
Gene:WBGene00230318	25	263	238	190	5	14	554	551	145	92	190	306	31	78	33	41	142	235	162	97	60	114	88	118	41	79	54	54	48	52	27	43	162	155	64	62	129	45
Gene:WBGene00230319	7166	9628	71222	60223	1829	2195	74673	89370	5334	4757	39716	42571	4769	5427	3560	6307	23978	24516	92977	94233	27316	29627	15570	16058	19244	19119	18018	15749	40933	43476	38535	45777	20860	21904	2477	2992	5540	1682
Gene:WBGene00230321	4068	4369	15218	12793	373	502	23787	31430	2122	1820	10193	13384	2367	3176	1680	4742	6152	6845	9089	8214	6153	5093	7932	7814	6523	7743	9322	6962	5892	6352	5481	6638	7828	7654	2712	2574	5813	1447
Gene:WBGene00230322	422	475	2224	2310	171	229	3778	4425	883	751	2946	3180	258	420	229	371	1366	1377	2485	2343	1140	1051	1261	1495	1436	1462	4391	3634	1287	1317	1294	1429	1924	2043	432	350	667	179
Gene:WBGene00230323	66	129	257	378	7	14	517	590	41	53	157	252	20	47	17	39	135	142	271	185	133	129	226	257	108	139	8015	7539	121	80	87	96	163	146	31	36	79	14
Gene:WBGene00230324	3139	3468	5241	4406	191	214	1390	1537	184	168	1533	1879	279	525	329	520	915	1071	405	319	2967	2643	1401	1973	1500	2265	968	686	2513	2615	1857	2381	4049	3870	246	229	506	179
Gene:WBGene00230326	1848	2339	2927	2669	150	161	4355	5147	564	465	3329	3608	275	340	200	620	1509	1774	1533	1288	1595	1462	1687	1910	1535	1637	2809	2098	6877	7638	6464	6928	7480	7738	714	714	1429	465
Gene:WBGene00230327	0	12	28	32	4	5	187	266	68	84	179	194	32	46	25	21	120	143	122	66	138	103	91	117	50	81	94	93	122	125	70	123	85	95	25	16	33	9
Gene:WBGene00230328	5	11	14	20	0	11	1481	1884	205	243	3637	3572	62	104	56	61	254	285	239	213	175	263	216	216	161	161	111	102	54	52	30	48	74	51	10	4	11	1
Gene:WBGene00230329	566	281	15739	11577	329	310	16899	16650	1044	730	2832	3239	733	1055	540	1362	3139	4158	4227	4393	1805	1713	2714	2977	2563	2624	779	612	560	693	587	751	1688	1552	124	50	211	44
Gene:WBGene00230331	0	0	26	35	3	5	122	96	21	31	171	191	10	8	5	11	71	79	57	38	25	31	14	25	10	13	11241	10377	412	348	399	385	368	420	4	9	8	1
Gene:WBGene00230332	0	0	1	0	0	2	123	119	14	20	66	49	18	10	10	9	38	53	66	53	30	42	25	24	11	16	21	25	1285	1255	1196	1071	977	981	0	0	0	3
Gene:WBGene00230333	21	2	0	0	0	5	15	38	23	27	74	74	5	15	4	6	16	30	22	16	14	19	9	6	0	1	1872	1722	4	5	5	3	1	3	0	1	2	0
Gene:WBGene00230334	80	99	369	329	36	32	322	354	37	55	271	376	91	140	78	149	263	275	135	88	332	315	258	293	241	359	134	101	133	144	123	178	133	142	32	75	73	30
Gene:WBGene00230336	0	0	34	34	5	17	113	144	32	12	254	258	78	107	55	80	151	207	125	119	649	525	347	413	187	321	7025	7115	1958	1807	1618	1711	798	679	1	0	3	0
Gene:WBGene00230337	102	53	2251	1809	117	123	6094	5640	1060	591	150	124	60	92	61	142	227	206	697	754	386	578	246	237	319	406	4765	4565	349	315	262	334	779	824	203	198	514	162
Gene:WBGene00230338	0	26	0	7	0	0	49	37	17	21	152	141	49	79	31	48	60	78	53	47	28	47	95	101	60	93	373	351	70	83	69	71	19	16	114	114	180	64
Gene:WBGene00230340	1041	1148	2533	2148	131	179	4223	5139	640	579	3342	3958	182	397	224	307	1011	1379	929	813	690	685	242	253	238	260	142	129	1396	1645	1222	1773	3399	3542	1613	1192	2443	828
Gene:WBGene00230342	1753	2224	4833	4580	267	341	9116	10426	1217	997	5836	7532	1030	1351	900	1548	3383	3709	3375	2825	2825	2536	3380	3951	3446	3907	5564	4769	4012	4534	3533	4298	4778	5374	1321	1245	2491	674
Gene:WBGene00230343	1410	976	8256	7479	296	446	4343	4632	480	379	1157	1365	589	762	450	1271	1867	2436	1746	1594	3697	3129	3126	3320	3144	4344	10348	9130	10570	12182	8334	9847	10781	10007	350	302	712	213
Gene:WBGene00230344	1098	1333	2048	1757	97	152	2712	3164	487	384	2697	2787	517	714	444	823	1371	1736	1239	1021	1258	1171	1438	1554	1201	1452	2991	2533	2581	2626	2143	2591	4231	4281	971	840	1926	700
Gene:WBGene00230346	0	0	9	2	0	4	3	1	0	1	0	1	4	5	4	6	6	7	17	10	3	0	9	3	5	3	20	25	8	2	3	5	10	20	7	9	7	1
Gene:WBGene00230347	93	13	1137	878	43	59	370	424	32	18	15	31	12	19	7	9	26	39	43	75	15	22	24	17	19	17	51	48	312	389	324	423	657	776	17	24	21	18
Gene:WBGene00230348	0	0	0	0	1	1	0	17	3	4	10	0	4	8	5	7	4	1	5	3	7	6	8	8	5	22	470	447	12	12	6	10	17	20	19	7	24	9
Gene:WBGene00230349	0	0	8	1	0	0	185	241	34	38	20	4	3	5	5	4	19	5	11	12	29	39	397	663	3488	3717	59	71	17	15	18	17	2	3	0	0	0	0
Gene:WBGene00230350	4389	4652	12861	11404	366	450	19117	26158	1471	1388	14457	16377	1362	2138	1214	2584	4331	5888	3675	3369	6170	5649	11064	11660	9604	11566	11574	9000	22751	25562	20352	22129	35516	32544	2078	2460	5001	1442
Gene:WBGene00230351	3	3	88	85	4	6	1256	1801	161	91	116	119	17	21	21	31	28	41	73	63	72	52	55	76	126	145	4142	4122	188	221	134	172	275	293	12	11	25	19
Gene:WBGene00230352	0	0	24	13	0	0	264	293	34	34	39	25	5	6	10	5	31	14	33	27	21	19	18	16	32	47	703	563	69	77	59	65	82	79	5	2	9	2
Gene:WBGene00230353	916	1023	2352	2087	218	186	3471	4020	708	783	4522	4768	46781	48203	60147	29416	1805	2227	1710	1650	1668	1695	2413	2608	2118	2202	4577	3966	2939	3091	2295	2669	3640	3559	2348	1672	4072	947
Gene:WBGene00230354	150	142	39121	29972	2330	2202	6049	7457	1033	797	606	618	54	82	48	50	2018	1213	51774	52511	305	434	905	681	2436	2568	305	254	759	933	661	883	923	1009	72	51	99	19
Gene:WBGene00230355	0	18	9	1	0	0	369	524	133	192	279	358	41	33	40	54	89	90	111	79	85	100	81	105	59	45	2983	2958	7	16	13	11	27	32	55	53	65	17
Gene:WBGene00230356	18	49	471	517	13	24	15550	13721	1267	892	59	54	69	183	60	101	208	260	453	457	997	1949	153	148	273	122	27	22	371	350	312	314	294	395	3	0	3	4
Gene:WBGene00230358	3368	3840	5766	4991	276	313	8480	10151	1123	1142	6461	6831	395	451	283	723	3012	3652	3039	2823	2460	2204	2966	2994	2773	3410	4639	3805	3417	3824	2597	3270	5044	5362	870	874	1415	581
Gene:WBGene00230359	34	7	70	115	10	11	503	579	102	48	355	365	7	32	14	24	74	59	74	50	102	119	54	52	24	45	3551	3446	19	19	35	26	21	50	22	4	29	3
Gene:WBGene00230360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	3565	3753	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00230361	302	644	395	351	19	19	3507	4862	298	302	1357	1491	133	276	145	229	627	633	587	570	527	483	742	767	675	790	1561	1355	572	589	462	600	538	570	797	624	1538	503
Gene:WBGene00230366	4783	5204	26202	21986	1420	1618	43702	55253	6887	6445	40156	38466	5524	7282	4023	8950	33931	35646	35813	34742	23132	23730	30744	34031	32696	33701	27518	24280	25199	26161	20915	25588	19245	19586	4292	3806	7058	2823
Gene:WBGene00230369	5	21	84	62	28	33	1940	1761	442	393	701	902	155	128	126	121	182	210	248	138	343	438	105	122	111	112	168	154	199	180	184	231	595	564	320	216	487	153
Gene:WBGene00230370	1432	1640	2795	2158	111	136	5981	6511	728	690	3474	3953	341	586	355	748	2240	2278	1982	1755	1389	1393	2589	2605	2333	2207	2449	2051	2888	3112	2501	2958	4375	4216	620	670	971	397
Gene:WBGene00230373	479	283	38	15	0	0	0	0	0	2	0	0	7	4	2	5	11	32	1	2	3	5	20	53	37	6	7	4	2	0	0	1	0	1	14	18	15	6
Gene:WBGene00230375	285	442	21	7	0	0	1	0	0	0	1	0	0	2	2	5	8	6	9	3	0	0	11	2	4	24	3	1	0	1	0	0	1	2	5	5	5	3
Gene:WBGene00230376	483	266	3951	3308	285	315	8089	9557	1207	1190	10671	12073	4755	4240	2401	7800	11904	12534	8413	7825	5000	4755	7081	6954	6733	8223	12659	11373	3495	3974	3207	3800	1441	1642	1324	1261	2063	629
Gene:WBGene00230377	114	163	205	198	20	42	1135	1469	382	406	1797	1675	55	98	58	88	1149	1136	699	460	363	570	2480	2104	55	85	5791	4642	619	669	404	569	812	814	68	143	145	79
Gene:WBGene00230378	0	0	3	4	0	0	9	12	0	7	0	8	0	0	1	0	2	0	0	0	0	0	3	0	0	0	112	113	24	12	24	13	38	52	47	33	48	25
Gene:WBGene00230380	1284	2694	2601	3036	80	109	7172	9265	414	393	3062	2755	249	302	174	554	1431	1162	1144	825	887	990	2309	1618	94	95	6225	5519	2778	2958	2493	2612	5115	4821	1052	1057	2819	683
Gene:WBGene00230381	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	1	6	4	0	2	4	12	3	20	27	31	1650	1463	77	85	108	97	16	17	3	2	6	1
Gene:WBGene00230382	0	0	9	16	2	0	2	1	0	0	0	0	0	0	0	0	1	1	1	4	1	0	2	15	8	18	3461	3199	34	27	25	25	32	22	0	0	0	0
Gene:WBGene00230383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	629	472	4	3	10	3	2	7	0	0	0	0
Gene:WBGene00230384	325	153	989	882	63	75	3280	4101	425	395	2310	2421	236	327	197	383	870	1138	924	717	1168	1129	1828	2493	1911	1719	435	395	1500	1505	1250	1566	3274	3235	803	390	1035	250
Gene:WBGene00230385	1	6	350	469	14	29	2285	2855	291	306	2417	2145	69	81	55	59	215	299	152	176	291	294	256	336	308	362	124	89	193	231	125	170	187	203	7	9	7	7
Gene:WBGene00230386	1774	1627	6487	5746	203	300	14243	16991	1398	1405	5447	5164	411	759	417	1105	2752	3275	2024	1793	1940	1910	2766	2605	1898	3277	3505	2957	3431	3642	2780	3328	5174	5251	485	632	834	483
Gene:WBGene00230387	79	85	3481	3092	289	245	2400	2662	499	420	2963	2785	414	593	356	345	1154	1319	1067	981	472	565	1024	1094	1200	1212	1836	1384	822	1010	743	871	672	634	392	356	385	229
Gene:WBGene00230390	3953	5675	9860	8083	343	551	21539	24823	2367	2028	5955	8036	648	1530	1032	1367	1785	2687	718	598	2747	2366	3467	4336	3908	4858	4763	3116	9936	10606	8424	10577	25230	22643	1952	721	3917	630
Gene:WBGene00230391	0	0	46	20	2	0	52	38	12	3	24	29	31	20	14	23	120	218	104	84	63	55	133	186	131	175	4881	4783	53	44	42	51	35	18	0	0	0	1
Gene:WBGene00230393	404	438	1802	1572	64	99	7383	8802	901	682	4326	4325	684	1227	631	1120	1993	2109	1779	1532	1959	1834	2465	2695	2306	2491	2216	1930	1610	1851	1333	1700	2646	2843	602	501	1114	352
Gene:WBGene00230394	1336	1973	2830	2692	178	186	5822	6811	975	721	4596	4902	651	956	598	840	2107	2683	2203	1879	1925	1721	2204	2543	2188	2344	2312	1929	2992	3294	2296	3091	4567	4868	1072	1083	1774	703
Gene:WBGene00230395	5073	5653	10613	9457	412	516	9026	9739	866	768	5279	5393	472	743	423	1213	3145	3297	2429	2362	2344	2109	2826	3220	2656	2786	4742	3809	6958	7578	5729	6712	7786	8049	1131	1227	2260	873
Gene:WBGene00230396	3533	3602	5309	4621	136	155	5965	6947	807	692	5331	6370	1406	1928	1083	1882	5205	6408	3116	2621	3361	3317	4526	5054	4942	5353	2029	1979	1142	1300	1100	1180	1645	1746	741	592	1180	342
Gene:WBGene00230397	2	22	36	47	6	0	519	541	42	57	349	269	21	32	20	32	150	150	15871	15497	81	220	163	93	2490	2068	220	236	24	21	27	26	65	58	49	45	76	37
Gene:WBGene00230398	0	6	10	0	3	0	17	42	5	0	58	75	13	22	20	10	31	46	39	27	51	38	69	90	91	125	86	73	75	60	50	55	28	39	29	40	32	17
Gene:WBGene00230399	58	63	97	123	6	2	169	234	27	32	227	199	20	38	15	22	49	55	51	26	20	24	8	9	12	20	614	654	96	91	75	88	171	220	103	62	139	53
Gene:WBGene00230401	9	7	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	7	3	0	0	0	0	0	0	3	2	3	2
