agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220434	57	130	118	98	24	27	207	216	169	125	628	703	159	166	113	188	182	201	270	168	288	316	326	303	273	400	843	576	291	281	289	328	243	193	164	115	295	49
Gene:WBGene00220438	0	3	0	1	0	3	0	1	2	0	0	0	0	0	0	1	5	3	1	3	1	6	3	0	1	1	0	0	3	5	6	4	25	13	0	0	0	0
Gene:WBGene00220439	2	9	27	11	2	5	17	18	8	3	0	0	0	0	0	1	6	2	1	0	2	4	8	4	3	6	3	2	6	6	10	4	20	16	0	0	0	2
Gene:WBGene00220441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	4	2	3
Gene:WBGene00220443	9221	11775	17807	15927	529	675	17769	20894	1573	1252	8752	9131	789	1063	586	1756	4467	4389	3538	3157	3016	2661	3417	3319	3036	4006	3284	2489	7565	7588	6293	7337	14522	14075	2164	2572	5533	1621
Gene:WBGene00220444	9	2	338	221	46	35	1225	1624	314	297	1364	1658	187	132	115	253	406	441	779	632	411	317	297	287	297	243	174	166	251	244	224	308	383	430	41	31	50	28
Gene:WBGene00220450	0	13	55	60	0	2	420	625	48	56	634	539	51	76	38	49	134	149	116	93	96	108	414	514	313	444	306	335	126	126	142	136	70	82	12	16	28	14
Gene:WBGene00220454	0	0	0	0	0	1	0	0	0	5	3	3	0	0	2	5	12	8	5	3	2	6	0	0	1	4	0	1	0	0	0	2	0	0	0	1	0	0
Gene:WBGene00220456	0	0	0	0	0	0	0	0	0	5	31	16	2	3	0	3	0	1	2	1	0	0	0	0	1	3	229	326	0	2	0	1	0	0	11	4	17	5
Gene:WBGene00220457	428	960	41	53	4	0	44	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	429	795	623	227
Gene:WBGene00220458	1036	778	105	49	4	8	12	16	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	567	1503	640	413
Gene:WBGene00220460	0	0	14	10	0	0	25	9	8	9	7	12	4	0	3	0	5	8	4	6	2	3	0	6	0	4	3436	3599	16	1	9	11	27	18	2	4	10	3
Gene:WBGene00220465	0	58	31	13	4	6	0	4	1	7	0	10	2	4	7	2	7	8	6	4	10	6	4	5	3	6	58	30	284	264	271	233	363	312	29	19	54	12
Gene:WBGene00220466	0	0	0	0	0	0	7	11	0	13	17	47	24	33	22	35	0	0	4	3	0	2	11	9	8	14	30	34	1	3	3	1	0	1	18	25	26	14
Gene:WBGene00220469	587	451	1240	730	37	58	1248	1549	148	151	825	703	95	166	110	102	382	531	412	390	344	321	397	592	406	413	740	624	626	479	343	425	622	560	124	65	112	58
Gene:WBGene00220477	0	14	87	88	6	12	774	916	177	136	3131	2768	38	157	85	35	56	79	59	56	246	302	137	231	133	155	304	231	237	219	215	250	24	22	3	14	4	11
Gene:WBGene00220480	0	0	3	15	0	0	43	43	7	7	15	14	6	4	4	6	12	3	3	3	3	7	0	0	9	5	5452	5015	4	1	0	1	4	3	5	9	9	2
Gene:WBGene00220481	54	25	294	101	0	6	9655	12558	1496	1367	8884	7491	209	212	137	288	390	833	448	466	1495	1393	1778	1912	1180	1778	3024	2829	357	304	348	350	12	10	59	21	68	18
Gene:WBGene00220483	3	63	112	152	8	7	4287	5526	559	592	5705	5002	348	355	240	258	678	664	731	606	335	339	829	959	820	755	472	320	96	95	98	102	58	43	255	158	435	154
Gene:WBGene00220487	0	51	118	73	4	3	215	205	50	24	192	157	23	32	15	30	95	86	110	98	43	25	74	113	76	109	60	51	121	109	81	102	149	149	69	49	77	44
Gene:WBGene00220489	9231	10569	1621	1275	69	90	338	526	14	49	292	278	24	51	28	25	51	61	40	35	68	106	29	32	25	22	1428	1399	214	166	247	218	248	225	7145	6589	7778	4695
Gene:WBGene00220491	356	125	1755	1227	192	224	1748	2154	392	368	3410	3259	706	1409	1032	734	1450	1889	1019	924	1527	1599	1591	1731	1380	1729	986	862	487	590	500	553	158	194	344	219	482	144
Gene:WBGene00220492	926	1064	41	65	1	3	73	111	6	27	27	18	2	2	3	3	7	0	2	2	4	6	0	0	0	1	9	7	1215	1252	1009	1003	2033	2319	11037	8351	11527	5202
Gene:WBGene00220494	1481	1910	4980	3881	275	349	6478	8634	1459	1067	4785	5682	448	699	370	1094	3639	4114	3213	2948	2601	2535	2597	3027	2765	3506	3541	2910	4027	4323	3519	4141	4130	4195	984	1075	2028	562
Gene:WBGene00220495	8	2	0	8	0	0	6	14	0	0	6	9	0	0	2	1	14	1	4	2	2	1	10	6	1	0	10	5	5	3	1	4	11	7	4	1	8	0
Gene:WBGene00220496	150	106	172	155	10	26	401	457	114	55	266	352	30	44	29	25	100	162	147	88	68	93	223	176	8	10	293	240	158	116	100	133	458	467	88	46	155	33
